ProductName                 , Specification, Price , Unit    , Category     , Keywords   , Taste     , Origin              , Benefits        , SuitableFor
农场素食散养走地萨松母鸡    , 只           ,  23.99, 只      , 禽类产品     ,            , 肉质鲜嫩  , 农场直供            , 优质蛋白质来源  , 全家皆宜
农场新鲜童子公鸡            , 只           ,  23   , 2只     , 禽类产品     ,            , 肉质细嫩  , 农场直供            , 适合多种烹饪    , 全家皆宜
端午特价农场土鸡蛋          , 版           ,  29   , 2版     , 蛋类         ,            , 蛋香浓郁  , 农场                , 丰富营养        , 全家皆宜
大师傅新鲜做好吃的：谭头水饺, 袋           ,  25   , 袋      , 美味熟食/面点,            , 馅料鲜美  , 本地制作            , 方便快捷        , 速食人群
新鲜做红糟肉笋饼            , 个           ,  15   , 4个     , 新鲜蔬菜     ,            , 外酥里嫩  , 本地制作            , 特色风味        , 喜爱面点者
新鲜做柠檬泡椒风爪          , 包           ,  29.99, 2包     , 美味熟食/面点,            , 酸辣开胃  , 本地制作            , 独特风味        , 喜爱泡椒口味者
香糟肉光饼                  , 个           ,  15   , 4个     , 美味熟食/面点,            , 咸香酥脆  , 本地制作            , 传统小吃        , 大众适宜
爆汁小籠包子                , 25个         ,  20   , 包      , 美味熟食/面点,            , 汤汁浓郁  , 本地制作            , 经典面点        , 喜爱小笼包者
手工花卷                    , 15个         ,  21   , 包      , 美味熟食/面点,            , 松软可口  , 本地制作            , 家常主食        , 全家皆宜
拇指生煎包                  , 50个         ,  21   , 包      , 美味熟食/面点,            , 底脆馅鲜  , 本地制作            , 特色小吃        , 喜爱生煎者
手包肉打皮燕丸              , 0.8磅        ,  15.5 , 包      , 美味熟食/面点,            , Q弹爽滑   , 本地制作            , 地方特色        , 火锅/煮汤佳品
北京口味咸火燒              , 5个          ,  10   , 份      , 美味熟食/面点,            , 咸香酥脆  , 本地制作            , 传统面点        , 喜爱咸味点心者
北京口味甜火烧              , 5个          ,  10   , 份      , 美味熟食/面点,            , 香甜松软  , 本地制作            , 传统面点        , 喜爱甜味点心者
手工皮蛋鲜肉馄炖            , 12个/盒      ,  18   , 2盒     , 面点         ,            , 鲜美独特  , 本地制作            , 方便速食        , 馄饨爱好者
手工鲜肉馄炖                , 12个/盒      ,  18   , 盒      , 面点         ,            , 汤鲜馅美  , 本地制作            , 家常美味        , 全家皆宜
新鮮做筋道意大利面          , LB           ,   9.8 , 2LB     , 美味熟食/面点,            , 口感筋道  , 本地制作            , 意式风情        , 面食爱好者
新鲜插蛏                    , 2盒          ,  26   , 2盒     , 海鲜河鲜     , 蛏子       , 肉质鲜美  , 沿海地区            , 高蛋白低脂肪    , 海鲜爱好者
好鸭爽鸭血                  , 5盒          ,  10   , 5盒     , 禽类产品     ,            , 细嫩爽滑  , 未注明              , 补血佳品        , 火锅爱好者
深海螺片                    , 包           ,  26   , 包      , 海鲜河鲜     ,            , 爽脆鲜甜  , 深海捕捞            , 富含蛋白质      , 海鲜爱好者
鸦片鱼头                    , 5磅左右      ,  42   , 5磅左右 , 海鲜河鲜     , 鱼头       , 肉质肥美  , 未注明              , 胶原蛋白丰富    , 适合炖汤
台湾香肠                    , 2包          ,  22   , 2包     , 美味熟食/面点,            , 咸甜适中  , 台湾风味            , 佐餐佳品        , 喜爱台式风味者
锁鲜炖文蛤                  , 2盒          ,  22   , 2盒     , 海鲜河鲜     , 蛤蜊       , 鲜嫩多汁  , 沿海地区            , 富含锌元素      , 煲汤/清蒸皆宜
好吃咸晒鲜黄花鱼片          , 包           ,  26   , 包      , 海鲜河鲜     , 黄花鱼     , 咸鲜可口  , 未注明              , 易于烹饪        , 家常菜肴
水晶蝦餃                    , 版           ,   7.99, 版      , 美味熟食/面点, 虾饺       , 皮薄馅靓  , 广式点心            , 经典茶点        , 港式点心爱好者
农场青江菜                  , 2lb左右      ,   5.99, 2lb左右 , 新鲜蔬菜     , 青菜;小白菜, 口感脆嫩  , 农场                , 富含维生素      , 大众适宜
农场嫩西兰花苔Broccolini    , 3把          ,   9   , 3把     , 新鲜蔬菜     , 西兰花     , 清甜爽脆  , 农场                , 营养丰富        , 健康饮食者
农场新鲜平菇                , 3磅          ,  23   , 3磅     , 新鲜蔬菜     , 蘑菇       , 口感滑嫩  , 农场                , 低脂高蛋白      , 素食者/大众适宜
日本贝贝南瓜                , 箱           ,  38   , 箱      , 新鲜蔬菜     , 南瓜       , 粉糯香甜  , 日本品种            , 富含胡萝卜素    , 全家皆宜
巴西姜                      , 3磅左右      ,   6.99, 3磅左右 , 新鲜蔬菜     , 姜         , 辛辣浓郁  , 巴西                , 驱寒暖胃        , 烹饪调味
茭白                        , 2磅          ,  25   , 2磅     , 新鲜蔬菜     , 水笋       , 清甜脆嫩  , 未注明              , 富含纤维        , 时令蔬菜爱好者
新鲜花生                    , 5磅          ,  19   , 5磅     , 新鲜蔬菜     ,            , 香脆可口  , 农场                , 富含蛋白质      , 零食/煲汤皆宜
新鲜农场玉米                , 箱           ,  30   , 箱      , 新鲜蔬菜     ,            , 清甜多汁  , 农场                , 粗纤维助消化    , 全家皆宜
Olivia 农场有机嫩菠菜叶     , 3盒          ,   8.99, 3盒     , 新鲜蔬菜     , 有机菠菜   , 鲜嫩微甜  , 农场有机            , 富含铁质和维生素, 健康饮食追求者
台灣香瓜                    , 箱           ,  69   , 箱      , 时令水果     , 香瓜       , 清甜多汁  , 台湾                , 消暑解渴        , 水果爱好者
新鲜山楂                    , 3磅          ,  42   , 3磅     , 时令水果     ,            , 酸甜适中  , 未注明              , 开胃消食        , 大众适宜 (孕妇慎食)
红心芭乐                    , 5lb          ,  36   , 5lb     , 时令水果     , 番石榴     , 清甜爽脆  , 热带地区            , 富含维C         , 水果爱好者
甜大红石榴                  , 箱           ,  30   , 箱      , 时令水果     ,            , 多汁甘甜  , 未注明              , 抗氧化          , 全家皆宜
彩色金丝芒                  , 箱           ,  65   , 箱      , 时令水果     , 芒果       , 香甜软糯  , 热带地区            , 热带风情        , 芒果爱好者
越南龙眼                    , 箱           ,  59   , 箱      , 时令水果     , 桂圆       , 清甜核小  , 越南                , 滋补益气        , 水果爱好者
甜哈密瓜                    , 3个          ,  18.99, 3个     , 时令水果     , 哈密瓜     , 甜爽多汁  , 未注明              , 消暑佳品        , 全家皆宜
韩国香瓜                    , 6个          ,  18   , 6个     , 时令水果     ,            , 脆甜多汁  , 韩国                , 夏季水果        , 水果爱好者
天花板金色奇异果            , 箱           ,  48   , 箱      , 时令水果     , 猕猴桃     , 酸甜适口  , 新西兰/进口 (推测)  , 维C之王         , 全家皆宜
新鲜墨西哥山竹              , 15磅连箱     , 160   , 15磅连箱, 时令水果     ,            , 甜美多汁  , 墨西哥              , 水果皇后        , 热带水果爱好者
以色列甜orri 柑             , 箱           ,  48   , 箱      , 时令水果     , 橙子;柑橘  , 清甜多汁  , 以色列              , 富含维C         , 柑橘爱好者
爱妃苹果                    , 大箱         ,  60   , 大箱    , 时令水果     , 苹果       , 脆甜多汁  , 进口 (推测)         , 高品质苹果      , 苹果爱好者
白玉桃                      , 箱           ,  55   , 箱      , 时令水果     , 桃子       , 甜嫩多汁  , 未注明              , 夏季美味        , 桃子爱好者
Sunkist 浓味甜橙            , 箱           ,  50   , 箱      , 时令水果     , 橙子       , 浓郁香甜  , 美国 (Sunkist品牌)  , 高品质甜橙      , 橙子爱好者
红毛丹                      , 箱           ,  30   , 箱      , 时令水果     ,            , 甜爽多汁  , 东南亚 (推测)       , 奇珍异果        , 热带水果爱好者
天花板草莓                  , 箱           ,  28   , 箱      , 时令水果     ,            , 香甜可口  , 本地/优质产区 (推测), 老少皆宜        , 草莓爱好者
糯米荔枝                    , 10lb连箱     , 200   , 10lb连箱, 时令水果     , 荔枝       , 核小肉厚  , 中国/亚热带 (推测)  , 珍品水果        , 荔枝爱好者
天花板凤梨                  , 箱           ,  35   , 箱      , 时令水果     , 菠萝       , 酸甜多汁  , 热带地区 (推测)     , 助消化          , 水果爱好者
甜cotton candy 葡萄         , 箱           ,  50   , 箱      , 时令水果     , 葡萄       , 棉花糖般甜, 美国 (常见产地)     , 独特风味        , 葡萄爱好者
大王中王                    , 包           ,   6.99, 包      , 优选干货     ,            ,           ,                     , 
甘蔗马蹄饮                  , 5根          ,  25   , 5根     , 优选干货     ,            , 清甜爽口  , 配方饮品            , 清热解渴        , 大众适宜
傻小胖糯玉米                , 3包x400g     ,  11.99, 3包x400g, 新鲜蔬菜     , 糯玉米     , 软糯香甜  , 未注明              , 主食/零食皆宜   , 喜爱糯玉米者
双黄海鸭蛋                  , 盒           ,  39   , 盒      , 蛋类         ,            , 咸香流油  , 沿海地区 (海鸭蛋)   , 风味独特        , 咸蛋爱好者
七彩菌菇包                  , 2包          ,  10   , 2包     , 新鲜蔬菜     , 蘑菇       , 多种菌菇  , 菌菇基地 (推测)     , 营养丰富        , 菌菇爱好者/煲汤
威州5年参须                 , 磅           ,  19   , 磅      , 优选干货     , 人参须     , 微苦回甘  , 美国威斯康辛州      , 补气养阴        , 滋补调理人群 (遵医嘱)
纸皮核桃                    , 盒           ,  21   , 盒      , 时令水果     , 核桃       , 皮薄易剥  , 未注明              , 健脑益智        , 坚果爱好者
农家黑笋丝                  , 磅           ,  16   , 磅      , 新鲜蔬菜     , 笋丝       , 鲜嫩爽脆  , 农家/山区 (推测)    , 山野风味        , 喜爱笋类者